Date,Process,Load,Discharge
6/22/15,NO3.load,31391.56,5501520
7/27/15,NO3.load,1524.73,833785.92
8/31/15,NO3.load,119.76,420560.64
10/12/15,NO3.load,17.22,110030.4
6/15/16,NO3.load,245.43,303194.88
7/6/16,NO3.load,1514.88,290969.28
7/25/16,NO3.load,7.82,97804.8
8/17/16,NO3.load,0.00,479243.52
6/22/15,TKN.load,6580.70,5501520
7/27/15,TKN.load,726.53,833785.92
8/31/15,TKN.load,236.16,420560.64
10/12/15,TKN.load,63.56,110030.4
6/15/16,TKN.load,397.82,303194.88
7/6/16,TKN.load,411.43,290969.28
7/25/16,TKN.load,78.23,97804.8
8/17/16,TKN.load,325.21,479243.52
6/15/16,NH4.uptake,6263.609,303194.88
6/15/16,NH4.uptake,2822.674,303194.88
7/6/16,NH4.uptake,2590.617,290969.28
7/6/16,NH4.uptake,1376.891,290969.28
7/25/16,NH4.uptake,973.288,97804.8
7/25/16,NH4.uptake,2080.142,97804.8
8/17/16,NH4.uptake,267.222,479243.52
8/17/16,NH4.uptake,1268.583,479243.52
6/15/16,NO3.uptake,2072.575224,303194.88
6/15/16,NO3.uptake,19746.76112,303194.88
7/6/16,NO3.uptake,104709.2194,290969.28
7/6/16,NO3.uptake,1359.577412,290969.28
7/25/16,NO3.uptake,5146.539828,97804.8
7/25/16,NO3.uptake,5896.349591,97804.8
8/17/16,NO3.uptake,1613.73859,479243.52
8/17/16,NO3.uptake,13326.40597,479243.52
6/22/15,N.fixation,40233.72881,5501520
7/27/15,N.fixation,97066.20089,833785.92
8/31/15,N.fixation,102178.8521,420560.64
10/12/15,N.fixation,31286.25525,110030.4
6/15/16,N.fixation,48821.38431,303194.88
6/15/16,N.fixation,41843.51613,303194.88
7/25/16,N.fixation,7060.019413,97804.8
7/25/16,N.fixation,3032.581118,97804.8
8/17/16,N.fixation,2142.697567,479243.52
8/17/16,N.fixation,4852.067871,479243.52
6/22/15,Denitrification,64.81,5501520
7/27/15,Denitrification,29.68,833785.92
8/31/15,Denitrification,21.3,420560.64
10/12/15,Denitrification,10.02,110030.4
6/22/15,Anammox,1.66,5501520
7/27/15,Anammox,8.1,833785.92
8/31/15,Anammox,0.52,420560.64
10/12/15,Anammox,1.84,110030.4
