Process,Rate,Rate.SD,DIN
NH4,1.720771687,0.309565608,33.23
NH4,0.775459754,0.023049058,18.76
NH4,0.71170799,0.030982023,68.91
NH4,0.378266701,0.041249976,1.38
NH4,0.267386841,0.012429486,2.71
NH4,0.571467525,0.037770234,4.45
NH4,0.073412707,0.003230609,0.89
NH4,0.623611095,0.029757179,7.48
NO3,0.569388798,0.299064037,33.23
NO3,5.424934374,1.09376842,18.76
NO3,28.76626907,4.346918314,68.91
NO3,0.373510278,0.055432445,1.38
NO3,1.413884568,0.148842848,2.71
NO3,1.619876261,0.22466666,4.45
NO3,0.443334778,0.00914158,0.89
NO3,3.661100542,0.166834051,7.48
Nfix,11.0532222,4.019920894,92.7025
Nfix,26.66653871,1.959562841,66.5995
Nfix,28.07111322,1.466685867,0.1765
Nfix,8.595125067,1.922555986,10.3635
Nfix,13.41246822,4.823309945,33.234
Nfix,11.49547147,5.066003982,18.762
Nfix,1.939565773,0.037029791,2.713
Nfix,0.833126681,0.095452474,4.447
Nfix,0.588653178,0.077876727,0.887
Nfix,1.332985679,0.143696886,7.475
Denit,0.486084448,0.293420194,92.7
Denit,0.222570448,0.175219548,66.6
Denit,0.159777508,0.059402092,0.18
Denit,0.075127839,0.02403823,10.36
Anammox,0.012484012,0.017581031,92.7
Anammox,0.060774305,0.077028152,66.6
Anammox,0.003884939,0.009516119,0.18
Anammox,0.013826132,0.019076114,10.36
N2O,0.017540576,0.014517305,92.7
N2O,0.004085427,0.004391944,66.6
N2O,0.001307025,0.001278087,0.18
N2O,0.000653482,0.000446993,10.36
