Station,Date.code,Date,NH4.mean,NH4.sd,NO3.mean,NO3.sd,Nfix.mean,Nfix.sd,Denit.mean,Denit.sd,Ana.mean,Ana.sd,N2O.mean,N2O.sd
aODNR4,b,6/22/15,,,,,NA,0,0,0,0,0,0,0
b1163,b,6/22/15,,,,,0.737,0.268,64.81,39.12,1.66,2.34,2.34,1.94
cBells,b,6/22/15,,,,,NA,0,0,0,0,0,0,0
aODNR4,c,7/27/15,,,,,NA,0,0,0,0,0,0,0
b1163,c,7/27/15,,,,,1.839,0.1351,29.68,23.36,8.1,10.27,0.54,0.59
cBells,c,7/27/15,,,,,NA,0,0,0,0,0,0,0
aODNR4,d,8/31/15,,,,,NA,0,0,0,0,0,0,0
b1163,d,8/31/15,,,,,2.159,0.1128,21.3,7.92,0.52,1.27,0.17,0.17
cBells,d,8/31/15,,,,,NA,0,0,0,0,0,0,0
aODNR4,e,10/12/15,,,,,NA,0,0,0,0,0,0,0
b1163,e,10/12/15,,,,,0.764,0.1709,10.02,3.21,1.84,2.54,0.09,0.06
cBells,e,10/12/15,,,,,NA,0,0,0,0,0,0,0
aODNR4,f,6/15/16,0.115,0.0206,0.038,0.0199,0.894,0.3216,,,,,,
b1163,f,6/15/16,0.052,0.0015,0.362,0.0729,0.766,0.3377,,,,,,
cBells,f,6/15/16,0.02,0.0017,0.01,0.0035,0.355,0.015,,,,,,
aODNR4,g,7/6/16,0.047,0.0021,1.918,0.2898,,,,,,,,
b1163,g,7/6/16,0.025,0.0027,0.025,0.0037,,,,,,,,
cBells,g,7/6/16,0.021,0.0002,0.015,0.0005,,,,,,,,
aODNR4,h,7/25/16,0.018,0.0009,0.098,0.0103,0.134,0.0026,,,,,,
b1163,h,7/25/16,0.039,0.0026,0.112,0.0155,0.057,0.0066,,,,,,
cBells,h,7/25/16,0.013,0.0018,0.006,0.0005,0.001,0.0012,,,,,,
aODNR4,i,8/17/16,0.005,0.0002,0.032,0.0007,0.043,0.0057,,,,,,
b1163,i,8/17/16,0.045,0.0022,0.266,0.0121,0.097,0.0105,,,,,,
cBells,i,8/17/16,0.001,0.0001,0.055,0.0057,0.001,0.0014,,,,,,
