Date,Site,Phosphate,Nitrate,Ammonium,NtoP,Chla,Discharge
6/8/15,1. ODNR4,0.13,606.27,1.41,4784.9,66.96,14.2066
6/15/15,1. ODNR4,0.15,183.12,0.11,1189.8,15.75,129.897
6/22/15,1. ODNR4,2.67,425.01,8.81,162.4,9.22,63.675
6/29/15,1. ODNR4,4.25,369.31,6.56,88.5,3.49,253.851
7/6/15,1. ODNR4,0.36,295.03,0.66,826.7,,19.3855
7/13/15,1. ODNR4,2.27,199.23,7.62,91.3,8.5,322.62
7/20/15,1. ODNR4,1.18,131.77,3.39,114.8,16.89,88.862
7/27/15,1. ODNR4,0.26,56.21,1.84,226.3,59.08,9.6503
8/3/15,1. ODNR4,0.08,0.66,0.78,17.7,84.6,5.377
8/11/15,1. ODNR4,0.74,0.37,3.19,4.8,88.66,4.0186
8/18/15,1. ODNR4,1.03,0.63,12.9,13.2,103.37,8.4617
8/24/15,1. ODNR4,1,0.32,1.68,2,87.67,3.1413
8/31/15,1. ODNR4,0.14,0.01,0.42,3,74.57,4.8676
6/8/15,2. ODNR6,0.47,95.76,1.46,208,12.18,14.2066
6/15/15,2. ODNR6,0.49,0.4,1.1,3,11.84,129.897
6/22/15,2. ODNR6,2.32,665.22,13.31,292.3,7.17,63.675
6/29/15,2. ODNR6,1.57,291.61,5.21,189.4,28.23,253.851
7/6/15,2. ODNR6,0.08,286.98,1.99,3853,79.31,19.3855
7/13/15,2. ODNR6,0.04,207.01,0.44,5927.4,79.03,322.62
7/20/15,2. ODNR6,0.75,135.71,0.59,181.6,36.18,88.862
7/27/15,2. ODNR6,0.01,64.13,0.96,10849.3,67.67,9.6503
8/3/15,2. ODNR6,0.01,1.5,0,166.4,84.04,5.377
8/11/15,2. ODNR6,0.22,0.4,14.39,66.9,42.56,4.0186
8/18/15,2. ODNR6,0.16,0.44,6.87,45.4,121.26,8.4617
8/24/15,2. ODNR6,0.1,0,0.77,7.4,146.84,3.1413
8/31/15,2. ODNR6,,,,,104.19,4.8676
6/15/15,3. ODNR2,0.24,0.3,0.03,1.4,9.11,129.897
6/22/15,3. ODNR2,0.07,148.68,1.16,2140.6,8.07,63.675
6/29/15,3. ODNR2,0.25,370.71,3.37,1520.7,22.7,253.851
7/6/15,3. ODNR2,0.21,222.62,0.41,1044.6,26.28,19.3855
7/13/15,3. ODNR2,0.11,205.01,0.28,1912.6,44.26,322.62
7/20/15,3. ODNR2,0.02,127.89,0.72,6430.6,47.69,88.862
7/27/15,3. ODNR2,0.07,34.14,3.26,519.5,45.06,9.6503
8/3/15,3. ODNR2,0.04,11.06,0,290.9,34.63,5.377
8/11/15,3. ODNR2,1,0.43,17.47,17.9,70.29,4.0186
8/18/15,3. ODNR2,0.1,0.04,0.7,7.8,79.02,8.4617
8/24/15,3. ODNR2,0.08,0.01,0.68,9.1,71.97,3.1413
8/31/15,3. ODNR2,0.02,0.43,0.59,60.1,77.2,4.8676
