Date	Site	Ammonium	Phosphate	Nitrate	NtoP	Chla
6/15/16	1. ODNR4	4.846	0.271	27.156	118.0885609	21.04
6/22/16	1. ODNR4	0.682	0.367	1.902	7.040871935	39.42
7/6/16	1. ODNR4	1.085	0.012	65.44	5543.75	65.79
7/11/16	1. ODNR4	0.406	0.034	0.123	15.55882353	39.29
7/25/16	1. ODNR4	0.47	1.956	2.181	1.355316973	37.28
7/27/16	1. ODNR4	0.262	2.2	0.191	0.205909091	41.83
8/3/16	1. ODNR4	0.369	0.214	0.229	2.794392523	48.12
8/17/16	1. ODNR4	0.09	0.569	0.799	1.562390158	113.05
8/31/16	1. ODNR4	0.541	1.915	0.055	0.311227154	48.91
6/15/16	2. ODNR6	1.21	0	13.753	20000	11.86
6/22/16	2. ODNR6	0.611	0.231	0.735	5.826839827	8.87
7/6/16	2. ODNR6	0.8	0.329	0.281	3.285714286	15.58
7/11/16	2. ODNR6	0.925	0.039	0.713	42	41.14
7/25/16	2. ODNR6	0.182	1.533	2.357	1.656229615	31.43
7/27/16	2. ODNR6	0.781	0.872	1.098	2.154816514	40.94
8/3/16	2. ODNR6	0.417	0.063	0.07	7.73015873	38.15
8/17/16	2. ODNR6	0	0.601	0.452	0.752079867	71.69
8/31/16	2. ODNR6	0	0.641	0.41	0.639625585	52.77
6/15/16	3. ODNR2	0.734	0.05	0.215	18.98	4.49
6/22/16	3. ODNR2	0.782	0.107	0.197	9.14953271	4.17
7/6/16	3. ODNR2	0.823	0.158	0.527	8.544303797	18.1
7/11/16	3. ODNR2	0.074	0.359	0.118	0.534818942	38.55
7/25/16	3. ODNR2	0.587	0.085	3.105	43.43529412	65.51
7/27/16	3. ODNR2	0.318	0.003	0.458	258.6666667	35.17
8/3/16	3. ODNR2	0.125	0.347	0.123	0.714697406	37.51
8/17/16	3. ODNR2	0.419	0.139	0.163	4.18705036	53.91
8/31/16	3. ODNR2	0.36	0.212	0.609	4.570754717	30.9
6/15/16	4. ODNR1	0.773	0	19.445	20000	12.14
6/22/16	4. ODNR1	0.736	0	0.535	20000	6.3
7/6/16	4. ODNR1	0.769	0.177	0.206	5.508474576	12.57
7/11/16	4. ODNR1	0.873	0	0.248	20000	18.59
7/25/16	4. ODNR1	0.214	0.152	1.247	9.611842105	47.87
7/27/16	4. ODNR1	0.36	0.069	0.132	7.130434783	39.82
8/3/16	4. ODNR1	0	0	0.025	20000	21.32
8/17/16	4. ODNR1	0.094	0.086	0.195	3.360465116	38.98
8/31/16	4. ODNR1	0.18	0.256	0.195	1.46484375	20.7
6/15/16	5. 1163	0.619	0.013	17.835	1419.538462	10.39
6/22/16	5. 1163	0.501	0	14.992	20000	4.17
7/6/16	5. 1163	0.803	0	0.531	20000	9.64
7/11/16	5. 1163	0.282	0	0.274	20000	18.4
7/25/16	5. 1163	1.119	0.013	3.158	329	40.53
7/27/16	5. 1163	1.355	0.058	1.417	47.79310345	41.97
8/3/16	5. 1163	1.989	0.017	0.316	135.5882353	18.27
8/17/16	5. 1163	1.084	0.011	6.405	680.8181818	23.91
8/31/16	5. 1163	0.369	0.013	0.726	84.23076923	16.44
6/15/16	6. Bells	0.923	0	50.851	20000	11.43
6/22/16	6. Bells	0.877	0	27.123	20000	5.8
7/6/16	6. Bells	0.934	0.122	39.902	334.7213115	10.81
7/11/16	6. Bells	0.533	0.001	30.182	20000	6.23
7/25/16	6. Bells	0.825	0	28.479	20000	4.8
7/27/16	6. Bells	0.372	0	24.215	20000	4.9
8/3/16	6. Bells	0.924	0	12.887	20000	5.7
8/17/16	6. Bells	0	0	9.899	20000	6.16
8/31/16	6. Bells	0	0	0.191	20000	12.18
				0.025		
				65.44		
