Date,TKN,Location
05/01/15,61.53,River
05/02/15,60.31,River
05/03/15,58.96,River
05/04/15,53.96,River
05/04/15,60.53,River
05/04/15,50.75,River
05/05/15,52.03,River
05/06/15,54.46,River
05/07/15,62.24,River
05/08/15,68.59,River
05/09/15,70.66,River
05/10/15,64.88,River
05/11/15,55.67,River
05/11/15,60.17,River
05/11/15,58.46,River
05/12/15,57.53,River
05/13/15,60.31,River
05/14/15,60.60,River
05/15/15,49.25,River
05/16/15,80.51,River
05/17/15,54.89,River
05/18/15,59.74,River
05/18/15,60.03,River
05/18/15,53.03,River
05/19/15,55.96,River
05/20/15,50.11,River
05/21/15,58.24,River
05/22/15,49.54,River
05/23/15,55.46,River
05/24/15,56.32,River
05/25/15,50.11,River
05/25/15,53.68,River
05/26/15,51.61,River
05/26/15,44.33,River
05/27/15,46.97,River
05/28/15,50.82,River
05/29/15,52.46,River
05/30/15,71.38,River
05/30/15,142.18,River
05/30/15,448.39,River
06/01/15,146.97,River
06/01/15,182.08,River
06/02/15,160.17,River
06/02/15,162.81,River
06/02/15,136.47,River
06/03/15,126.12,River
06/03/15,127.77,River
06/03/15,107.00,River
06/04/15,99.86,River
06/04/15,110.64,River
06/04/15,102.78,River
06/05/15,84.01,River
06/05/15,82.94,River
06/05/15,74.80,River
06/06/15,71.88,River
06/06/15,68.31,River
06/07/15,72.95,River
06/08/15,62.38,River
06/08/15,60.39,River
06/08/15,63.53,River
06/09/15,55.39,River
06/10/15,51.75,River
06/11/15,68.09,River
06/12/15,75.30,River
06/12/15,109.92,River
06/13/15,85.44,River
06/13/15,120.99,River
06/13/15,107.14,River
06/14/15,104.21,River
06/14/15,78.80,River
06/14/15,89.44,River
06/15/15,113.63,River
06/15/15,147.82,River
06/15/15,146.54,River
06/15/15,160.24,River
06/16/15,190.79,River
06/16/15,162.60,River
06/16/15,187.29,River
06/17/15,157.67,River
06/17/15,148.97,River
06/17/15,157.03,River
06/18/15,107.49,River
06/18/15,97.64,River
06/18/15,119.99,River
06/19/15,86.44,River
06/19/15,84.73,River
06/19/15,111.06,River
06/20/15,93.00,River
06/20/15,86.08,River
06/20/15,94.65,River
06/21/15,94.93,River
06/21/15,105.78,River
06/22/15,93.29,River
06/22/15,77.59,River
06/23/15,73.52,River
06/24/15,64.53,River
